id;code_facture;client_id;amount;date_emission;date_paiement;paiement_status
1;best-of-breed robust;SN1234512312345;6084;2020-12-10T08:52:02;2020-12-09T21:13:47;PENDING
2;auxiliary Cambridgeshire SQL;SN1234512312345;36551;2020-12-09T21:58:31;2020-12-10T15:38:07;SUCCESS
3;quantifying Shoes;SN1234512312345;77177;2020-12-10T00:21:07;2020-12-10T03:57:22;FAILED
4;Industrial Analyst;74576;9424;2020-12-10T05:13:14;2020-12-10T01:21:37;PENDING
5;International Metal asymmetric;59706;61760;2020-12-09T20:29:26;2020-12-10T17:36:22;FAILED
6;deposit Riel;2528;2477;2020-12-10T05:41:10;2020-12-10T06:05:52;FAILED
7;Metal Colorado Officer;760;74844;2020-12-10T08:43:10;2020-12-09T21:08:56;INPROGRESS
8;Kyat sensor;9406;95771;2020-12-10T08:16:13;2020-12-09T20:01:47;SUCCESS
9;circuit iterate;SN1234512312345;65481;2020-12-10T03:06:18;2020-12-10T15:05:22;FAILED
10;B2C Outdoors;31540;95959;2020-12-09T21:09:42;2020-12-10T12:59:14;SUCCESS
