id;client_id;facture_id;amount;date_paiement;trials;paiement_status
1;SN1234512312345;1;18332;2020-12-09T21:25:49;42484;INPROGRESS
2;SN1234512312345;2;49871;2020-12-10T10:38:02;4833;SUCCESS
3;SN1234512312345;3;3107;2020-12-09T22:36:53;42019;SUCCESS
4;10556;4;11491;2020-12-09T20:36:07;7093;SUCCESS
5;77049;5;32668;2020-12-10T11:49:46;96955;INPROGRESS
6;25312;6;29073;2020-12-10T07:54:13;9017;PENDING
7;4282;7;5281;2020-12-10T13:14:05;8533;SUCCESS
8;37877;8;79303;2020-12-10T09:23:28;35037;PENDING
9;60246;9;47826;2020-12-09T21:22:36;19497;FAILED
10;SN1234512312345;10;78206;2020-12-10T05:46:11;17881;FAILED
